Height (cm),Weight (kg),Chest (cm),Waist (cm),Hip (cm),Size Purchased,Size Exchanged
188,74,82,87,90,S,XL
164,67,82,76,90,L,S
157,60,104,68,102,XS,M
170,78,84,80,106,XL,S
188,66,86,90,87,XS,M
160,69,96,70,97,XL,XL
160,51,82,69,94,XL,XL
185,80,83,78,100,L,S
189,76,81,93,93,M,S
173,51,93,73,105,XL,XL
152,63,84,82,112,M,S
171,53,100,70,94,L,S
151,62,81,79,103,L,S
173,85,94,80,101,M,S
179,84,90,72,85,XL,M
187,57,101,83,97,XS,XL
182,80,109,71,110,L,M
161,59,80,68,94,XL,XL
171,70,98,94,104,S,M
174,59,93,92,93,M,XL
176,72,104,85,92,XS,M
177,52,105,65,104,XS,S
165,81,102,68,90,L,M
164,69,108,94,107,L,M
152,59,101,78,94,L,L
186,78,93,87,108,M,XL
156,83,80,80,104,XS,S
170,86,104,92,101,XS,M
158,69,108,90,89,L,S
188,57,88,71,98,L,XL
153,55,93,74,95,XS,L
174,60,92,68,111,L,L
163,67,92,76,88,L,XL
158,78,85,70,107,L,L
151,70,81,85,101,XS,S
169,52,105,65,109,XS,M
177,67,87,72,86,XS,XL
156,73,103,92,105,XL,XL
157,87,85,87,106,M,L
184,59,104,80,85,XL,M
163,76,82,69,114,S,L
166,61,97,93,112,XL,L
185,56,97,90,102,S,S
189,66,101,90,91,L,S
153,50,102,71,106,S,L
155,64,90,67,90,M,XL
178,86,95,85,114,XL,XL
167,80,84,66,107,XS,M
175,84,103,66,110,S,M
159,57,81,87,98,L,L
185,61,94,94,98,XL,L
163,68,95,74,96,S,M
180,74,86,84,93,S,L
164,81,95,73,93,XS,S
157,61,103,82,86,S,M
163,62,83,70,102,M,XL
172,77,107,84,89,L,XL
189,50,95,70,110,M,L
170,55,96,90,107,M,XL
165,57,81,89,96,XS,XL
175,74,86,89,97,L,XL
174,71,97,73,87,XS,M
178,77,85,73,99,M,XL
164,88,97,67,99,XS,S
150,72,107,76,87,S,M
174,53,86,75,104,XS,S
156,53,81,78,103,S,S
158,70,98,89,99,M,L
150,51,108,74,92,S,L
157,56,83,83,107,S,S
173,65,93,69,97,S,L
160,66,84,86,107,L,L
166,69,104,73,114,XL,M
157,72,86,65,94,L,L
184,83,87,79,86,XS,M
184,60,94,88,95,L,L
182,83,106,94,109,L,L
154,82,98,94,113,S,S
188,75,106,68,106,XS,S
177,51,90,90,114,XS,XL
156,72,99,71,103,M,XL
158,71,102,70,93,S,M
157,83,83,79,93,L,S
161,64,97,70,90,M,XL
183,59,93,71,113,M,L
182,64,105,84,94,L,S
172,78,85,86,106,XS,L
173,72,104,67,108,S,L
186,66,95,85,92,S,M
184,58,97,93,99,L,S
189,85,80,93,90,S,L
171,58,87,94,91,XL,M
150,82,98,67,88,XL,L
184,80,100,77,92,S,L
163,59,107,86,97,XL,XL
152,65,104,83,108,XL,M
150,53,106,82,98,M,L
164,60,87,71,108,XL,L
164,73,89,73,95,XL,M
153,61,104,73,98,XL,S
179,63,81,94,87,XL,S
188,53,85,71,111,L,XL
164,77,102,94,90,L,XL
178,56,91,93,104,XS,M
185,59,101,72,87,S,S
162,85,98,74,103,XL,L
181,51,107,65,110,XS,M
156,75,94,91,87,M,M
151,66,97,93,109,M,L
155,71,95,85,109,L,XL
177,68,90,65,101,S,S
169,51,91,83,94,XS,L
179,88,84,66,105,M,L
177,68,106,87,93,M,L
174,65,103,77,97,M,XL
182,67,104,69,113,L,XL
150,72,90,67,92,L,XL
176,70,100,91,91,XL,S
152,88,83,81,86,S,S
188,53,88,65,114,M,S
155,74,91,78,88,XL,L
157,81,89,70,93,S,M
158,75,93,68,109,L,XL
186,85,84,70,98,L,L
182,83,80,65,108,XL,S
173,58,84,93,95,L,S
181,51,84,68,114,XL,L
181,87,84,73,91,XS,XL
173,54,108,73,112,XL,S
161,54,97,93,109,L,L
188,71,108,86,103,S,XL
151,54,85,77,88,XL,L
152,53,100,87,86,M,S
186,58,97,93,109,XL,S
166,78,107,81,107,L,XL
151,71,89,85,106,XL,L
151,76,94,67,105,M,S
177,59,109,90,112,M,L
186,59,101,93,103,M,XL
181,55,90,70,105,L,M
182,54,105,84,102,XL,XL
150,55,107,79,105,XL,S
168,74,106,93,91,XS,L
151,53,98,78,95,L,XL
175,89,104,77,94,S,M
155,84,106,87,107,XL,S
181,59,106,79,93,XL,L
160,85,99,68,108,XS,S
166,55,82,93,89,S,XL
187,65,95,75,107,XS,XL
173,68,86,86,85,L,M
183,74,108,94,104,XL,XL
155,80,94,80,89,M,M
171,66,109,83,113,S,L
160,79,87,80,110,M,L
182,80,96,71,90,XS,L
158,68,80,75,87,XL,XL
155,84,108,76,105,M,L
165,78,100,68,111,L,XL
178,50,109,94,97,XL,M
152,53,87,80,101,S,XL
169,77,93,92,87,XL,XL
168,75,106,80,87,L,L
175,89,98,71,105,S,XL
181,57,89,69,87,L,S
189,73,83,69,105,XS,XL
189,78,83,75,93,XL,S
150,59,104,66,100,S,S
174,56,109,82,109,XL,XL
172,66,99,79,104,L,XL
180,59,92,78,102,XS,S
179,80,100,89,110,XS,XL
184,55,96,94,85,M,L
156,66,102,77,91,XL,M
165,86,104,66,104,M,S
175,67,95,83,96,L,S
151,75,107,72,92,L,XL
150,65,104,91,92,XL,M
161,57,96,86,112,XS,M
186,62,82,79,106,M,S
158,81,103,85,98,L,XL
184,73,83,78,104,L,M
165,60,99,67,104,XS,M
173,84,80,77,105,M,M
182,82,92,89,94,XS,XL
173,67,105,82,108,XL,L
160,86,81,65,93,L,L
157,62,102,71,91,S,S
185,59,89,93,107,L,L
187,86,102,87,114,M,M
189,75,98,69,106,M,S
169,66,96,66,102,S,L
184,50,103,94,110,M,L
174,88,105,85,94,S,L
178,59,93,74,97,XL,S
167,69,106,68,93,L,M
167,56,90,73,100,M,L
151,65,89,85,114,XS,M
184,86,86,75,105,S,S
165,78,89,90,106,S,XL
185,61,103,76,101,S,S
182,66,80,76,89,M,XL
182,75,82,68,94,XS,M
170,61,81,92,86,S,M
169,70,96,73,91,S,S
157,83,100,72,98,S,L
156,56,82,83,88,XS,L
152,84,105,88,89,S,XL
166,64,94,77,103,XS,L
182,50,87,66,105,XS,M
161,75,85,83,112,S,L
171,74,109,69,112,XS,L
187,71,104,92,94,XS,XL
187,55,90,94,90,M,XL
157,64,101,90,86,S,S
176,73,81,74,87,M,S
176,70,88,88,112,XS,S
170,78,98,84,94,S,S
179,81,101,80,101,S,XL
182,81,97,81,91,XS,L
182,53,97,92,86,XL,S
154,71,91,85,91,L,S
168,67,83,86,99,M,XL
153,84,94,79,87,XL,L
184,66,90,81,89,M,M
166,73,106,75,106,S,L
177,51,98,86,92,XS,S
179,62,84,69,88,M,S
178,64,85,68,102,L,L
155,54,92,90,103,S,L
184,52,102,85,92,S,XL
186,86,89,88,107,XL,M
180,52,93,80,111,L,M
184,84,83,94,89,XS,XL
182,72,99,76,101,L,L
170,77,102,82,114,XL,S
181,79,91,86,90,XL,M
172,67,94,67,97,M,XL
182,85,105,79,93,XS,M
152,82,89,82,108,XS,S
174,89,88,94,94,XL,L
180,66,90,77,85,XL,XL
189,56,92,68,113,XS,S
173,57,106,72,90,XL,M
181,80,101,83,87,M,XL
171,61,105,85,90,S,XL
176,59,108,85,92,M,S
175,61,100,75,99,XS,XL
166,69,87,89,106,XL,L
189,86,80,88,90,M,S
182,56,85,88,107,M,S
158,63,105,93,95,S,L
188,60,92,93,113,M,S
178,56,88,81,94,XL,S
184,59,85,66,88,M,S
174,78,94,94,113,XS,XL
162,85,95,90,92,M,M
156,59,83,65,104,XL,XL
185,68,107,68,99,XS,M
150,66,96,66,85,XL,XL
165,82,91,91,109,XS,M
163,83,101,70,110,XS,L
161,73,98,77,93,L,S
172,58,99,79,107,XL,L
164,56,105,75,92,L,L
151,88,85,84,98,L,S
181,55,91,73,114,M,L
172,60,88,89,96,L,XL
174,62,84,85,107,S,L
171,61,100,87,101,S,M
155,59,81,88,90,L,S
164,69,87,91,105,L,L
182,77,94,76,109,M,S
157,73,88,72,90,L,S
154,54,89,85,87,S,M
188,86,90,85,100,S,S
181,89,93,86,109,L,XL
179,51,84,69,99,S,L
184,88,106,88,110,S,L
189,58,88,72,114,XS,M
165,71,83,82,88,XS,L
162,54,81,75,95,XL,S
168,50,80,92,93,XL,S
166,71,100,91,89,L,L
168,87,80,74,91,L,XL
177,68,91,90,102,S,L
175,65,90,79,102,M,M
175,52,93,83,108,M,S
172,72,106,81,86,L,L
161,75,108,74,107,L,S
150,62,86,69,97,XS,L
150,67,81,92,97,S,L
183,52,94,80,101,XS,L
181,72,87,76,109,XL,M
174,52,101,90,110,XS,M
189,74,99,85,106,XL,S
150,76,104,91,111,M,S
188,88,105,92,110,M,XL
171,73,108,85,98,S,XL
178,57,89,65,105,XS,L
152,58,98,66,98,XL,L
175,79,99,87,89,L,M
165,68,93,83,89,M,M
186,65,88,92,88,L,S
171,73,88,79,107,XS,S
163,85,107,75,109,XL,M
177,89,104,92,97,XS,L
154,88,85,82,88,XL,L
179,55,87,67,102,S,M
161,63,87,73,102,XS,S
175,57,89,68,107,L,M
170,60,83,77,104,M,M
185,70,99,67,104,L,XL
182,75,85,80,90,XS,L
179,76,109,86,102,XS,XL
186,65,88,72,104,S,M
172,75,102,90,111,XL,L
159,82,84,71,91,XS,XL
183,57,85,81,86,XS,L
180,56,96,89,92,M,M
159,83,96,92,98,S,XL
168,63,104,80,106,M,M
150,58,101,86,102,XS,S
154,59,92,82,114,XS,S
153,66,96,80,111,XL,M
165,68,105,93,113,M,S
151,78,98,84,93,L,S
177,55,105,68,93,S,XL
181,74,107,69,86,L,XL
176,73,82,71,100,S,S
169,74,81,93,88,XL,M
173,65,107,91,97,XL,L
182,70,83,74,86,XL,XL
186,53,96,84,88,L,S
161,83,85,93,96,S,XL
152,77,86,73,86,S,S
150,87,99,80,85,L,M
